,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.207629.2:7,for,,,Duration,,Duration,,,,I have been going to Warner Family |for| a number of years and would highly recommend it to anyone .
ewtb.r.209465.2:5,for,,,Duration,,Duration,,,,"I have been eating Pho |for| almost my entire life and I 've always gone to the Pho places in south philly and off the boulevard and even the other one in chinatown , but when i tried this pho place , it blew the other pho houses away !!"
ewtb.r.210019.1:5,for,,,Duration,,Duration,,,,We have stayed at Tanglewood |for| many years now .
ewtb.r.214912.1:5,for,,,Duration,,Duration,,,,I have used Bright Futures |for| the last 7 years .
ewtb.r.216456.2:16,for,,,Duration,,Duration,,,,We live within 20 miles of the hotel and wanted to get away from our responsibilities |for| the night .
ewtb.r.217359.6:22,for,,,Duration,,Duration,,,,as an example they took payment for 5 out of 6 monthly plan premiums for a yearly policy and cancelled the contract |for| the remainder of the policy for reasons they stated was not receiving information on other licensed drivers in the household ?
ewtb.r.230176.3:7,for,,,Duration,,Duration,,,,"I have been suffering from back pain |for| over 12 years and have been to numerous specialists , physios , osteos and chiros with no help ."
ewtb.r.235423.8:6,for,,,Duration,,Duration,,,,We were standing in the store |for| 20 minutes to simply pick up an order .
ewtb.r.235576.4:8,for,,,Duration,,Duration,,,,T 's has been a North County landmark |for| thirty years and with good reason .
ewtb.r.241739.3:6,for,,,Duration,,Duration,,,,I have been going to Nick |for| 5 months now precisely because he does pay attention to detail .
ewtb.r.248124.2:11,for,,,Duration,,Duration,,,,It is the real thing - I have been practicing Pilates |for| over 7 years and would not go anywhere else .
ewtb.r.270502.3:25,for,,,Duration,,Duration,,,,"They interviewed me , gave me tests in the software I included on my resume , and placed me in a position that I kept |for| several years ."
ewtb.r.276689.2:7,for,,,Duration,,Duration,,,,I have lived in Buckingham Condominiums townhouse |for| 2 years .
ewtb.r.278775.2:6,for,,,Duration,,Duration,,,,"We had been evaluating SEO providers |for| quite some time and finally decided to take the plunge with Stuart , and Ulistic ."
ewtb.r.278775.8:7,for,,,Duration,,Duration,,,,"Well we have been working with Ulistic |for| 1.5 months , and have 100 people following our site on Facebook , and our web site , www.designofashion.com has seen a 3 fold increase in traffic , which is significantly beating our expectations - SEO is a process that takes time and to get results this quickly is exceptional ."
ewtb.r.280844.6:4,for,,,Duration,,Duration,,,,I worked with Andrew |for| 2 months and did acupuncture and herbs .
ewtb.r.285133.1:35,for,,,Duration,,Duration,,,,Hair By Nivine in eastgardens fixed my hair after i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now |for| 2 years always happy and they care about my hair had my hair done for my wedding it looked fabolous !
ewtb.r.292841.3:15,for,,,Duration,,Duration,,,,"A large group of my friends and I rent almost the whole motel every year |for| a weekend , and the experience and stay have always been five - star ."
ewtb.r.303922.3:9,for,,,Duration,,Duration,,,,The team at Bradley Chevron kept my car running |for| well past its expected death !
ewtb.r.315763.2:19,for,,,Duration,,Duration,,,,I moved to Creekside Apartments in August 2008 with a 6 - month lease and have just extended it |for| another 13 months !
ewtb.r.319816.12:5,for,,,Duration,,Duration,,,,"Once again , I waited |for| quite a bit before being attended to ."
ewtb.r.319816.25:38,for,,,Duration,,Duration,,,,"Of course , they could n't call him either to ask about it because apparently they do n't keep their employees ' phone numbers ( riiight ) , so I would have to return on Monday ( driving |for| 3 days now with no wheel lock should I get a flat ) ."
ewtb.r.319816.5:8,for,,,Duration,,Duration,,,,"Once inside , I had to stand around |for| at least 10 more minutes before -- FINALLY -- a technician got to me ."
ewtb.r.326649.2:16,for,,,Duration,,Duration,,,,"I personally trust this Midas store with all my vehicles , I have been going there |for| years & would never go anywhere else !"
ewtb.r.329807.2:6,for,,,Duration,,Duration,,,,I have been using Steele Electric |for| years .
ewtb.r.332068.1:11,for,,,Duration,,Duration,,,,Would not recommend I Was in a fair amount of pain |for| several weeks .
ewtb.r.332105.1:14,for,,,Duration,,Duration,,,,My wife and I avoided doing some fairly simple electrical re-wiring in our home |for| several years due to overall hassle and cost involved .
ewtb.r.335490.2:2,for,,,Duration,,Duration,,,,Stayed here |for| 2 nights .
ewtb.r.351840.1:7,for,,,Duration,,Duration,,,,Caldwell insurance has been doing our insurance |for| a couple years now and they have been extremely thorough .
ewtb.r.353891.3:4,for,,,Duration,,Duration,,,,My nails looked great |for| the better part of 2 weeks !
ewtb.r.356920.3:8,for,,,Duration,,Duration,,,,I had been a patient of Dr. Olbina |for| 9 years and had spent thousands of dollars on crowns etc .
ewtb.r.363873.2:3,for,,,Duration,,Duration,,,,"We lived here |for| 2 years , the first year or so was okay ."
ewtb.r.396880.2:5,for,,,Duration,,Duration,,,,"I tried to stay here |for| a few nights with my girlfriend , so we asked for a single queen bed ."
ewtb.r.072507.4:0,In,,,Duration,"odd, possibly nonnative. “Just 2-3 focused lessons IN”?",Duration,,,,"|In| just 2 - 3 focused lessons , I 'm already now capable of picking up new songs off YouTube guitar how to videos and am even writing my own orginals with confidence !"
ewtb.r.100592.2:5,in,,,Duration,,Duration,,,,yep they fixeded my thumpstar |in| 1 day .
ewtb.r.341397.2:5,in,,,Duration,,Duration,,,,they fixed my garage doors |in| literally less than an hour .
ewtb.r.361316.2:5,in no time,,,Duration,,Duration,,,,They came to my house |in| |no| |time| and started working on the gate .
ewtb.r.131458.4:18,over the years,,,Duration,,Duration,,,,I have been extremely pleased with the signs and pop - up banners she has supplied to me |over| |the| |years| - a truly first class family business run by Tina and her husband Chris .
ewtb.r.299524.1:3,over the years,,,Duration,,Duration,,,,"Quality has fallen |over| |the| |years| , but still the best go - to burger place on the East Bay ."
ewtb.r.020992.12:9,through,,,Duration,,Duration,,,,Do not go there if you expect to sleep |through| the night .
ewtb.r.134622.2:19,through,,,Duration,,Duration,,,,"From the amount of time spent with us to explain things during the initial quote , to the communication |through| the approval process to the actual workmanship of the build itself ."
ewtb.r.080221.4:10,throughout,,,Duration,,Duration,,,,Each of you should be proud of your massive contributions |throughout| the year !
ewtb.r.162567.4:23,throughout,,,Duration,,Duration,,,,"She has not only helped me through some challenging computer - work and sports related injuries , she was wonderful to work with |throughout| my pregnancy and beyond ."
ewtb.r.008585.5:13,within,,,DeicticTime,achievement-preparation,Duration,,,,"They tracked down the only tire that fit my BMW 330i in Murfreesboro |within| minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire ."
ewtb.r.036133.6:11,within,,,DeicticTime,achievement-preparation,Duration,,,,Well they came through and delivered almost all of my items |within| a few days .
ewtb.r.085009.3:4,within,,,DeicticTime,achievement-preparation,Duration,,,,"The work was completed |within| one week , and everything was cleaned up on completion ."
ewtb.r.162662.3:11,within,,,DeicticTime,achievement-preparation,Duration,,,,I purchased four gift items there and had them all embroidered |within| a week .
ewtb.r.263909.4:3,within,,,DeicticTime,achievement-preparation,Duration,,,,Had it fixed |within| a few days ( had to order a part ) .
ewtb.r.306740.2:10,within,,,DeicticTime,,Duration,,,,My son was able to advance a full two grades |within| 9 months !
ewtb.r.079375.8:7,as long as,,,Duration,,Duration?,,,,I will never go to another vet |as| |long| |as| I have animals .
ewtb.r.319816.23:8,in time,,,Time,,Duration?,,,,Of course I could n't make it back |in| |time| ( and they apparently could not stay 5 extra minutes to wait for me ) .
ewtb.r.225861.3:9,to end,,,EndTime,,EndTime,not MWE,,,yet again it was a great stay from begiinning |to| |end| .
ewtb.r.336049.3:29,till,,,EndTime,,EndTime,,,,"~ It took over 40 mins to be taken to our table , once there it took another 20 mins to get our orders and a further 45 mins |till| our starters landed on our table ."
ewtb.r.039383.4:28,to,,,EndTime,,EndTime,,,,"Cons : * Server was n't very pleasant * Pretty small portion on the blackened catfish * Overcooked food * Time , took about 25 minutes from ordering |to| eating ."
ewtb.r.122270.2:17,to,,,EndTime,,EndTime,,,,After I had chosen The Fountain Dental Practice they provided a slick and professional service from start |to| finish .
ewtb.r.127252.4:9,to,,,EndTime,,EndTime,,,,Richard Joule and the gang are pros from start |to| finish .
ewtb.r.159371.5:29,to,,,EndTime,,EndTime,,,,i mean a 2 day stay was a ok stay even tho the manager looked like he was chineze and that we only slept and went out from 8 |to| 7 to see New York .
ewtb.r.225861.2:10,to,,,EndTime,,EndTime,,,,My daughter and I stayed here again from the 7th |to| the 14th of December .
ewtb.r.330966.4:37,to,,,EndTime,,EndTime,,,,"I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM |to| 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.354860.2:5,to,,,EndTime,,EndTime,,,,"From first meeting with them |to| launch of my website , everything went smooth and on schedule ."
ewtb.r.363685.18:7,to,,,EndTime,,EndTime,,,,# 4 ) Breakfast is 8 AM |to| 10 AM .
ewtb.r.376320.7:7,to,,,EndTime,,EndTime,,,,From my first encounter at check in |to| my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.020992.10:19,until,,,EndTime,,EndTime,,,,"This little drip offered no apologies whatsoever , and even refused to give me the name of the manager |until| I pressed him for it 3 times ."
ewtb.r.116821.5:7,until,,,EndTime,,EndTime,,,,I thought I would have to wait |until| I went home to NYC .
ewtb.r.121556.2:21,until,,,EndTime,,EndTime,,,,"I have lived in the UTC La Jolla area for many years , and I never new this salon was here |until| a friend reffered me to see Holly here ."
ewtb.r.124163.2:9,until,,,EndTime,,EndTime,,,,I had a severe phobia of attending the dentist |until| I met and was treated by Dr Nelson .
ewtb.r.156953.3:10,until,,,EndTime,,EndTime,,,,I go to school in the area and usually wait |until| I go home to get my hair cut .
ewtb.r.156953.8:11,until,,,EndTime,,EndTime,,,,Usually they blow dry it out and i have to wait |until| i wash it to see what it will look like in its natural state .
ewtb.r.164805.8:7,until,,,EndTime,,EndTime,,,,Fair give and take on both sides |until| we agreed on a deal that was within my parameters and was fair to both sides .
ewtb.r.181748.7:26,until,,,EndTime,,EndTime,,,,"I do n't know if the kid had a bad day or what , but I had to sit and apologize about nothing for 10 minutes |until| he dropped the issue ."
ewtb.r.181771.3:7,until,,,EndTime,,EndTime,,,,I have never seen this car before |until| this lady at wal mart had it and she told me she got it here and that everyone was so nice to her .
ewtb.r.202402.2:10,until,,,EndTime,,EndTime,,,,"When my server crashed , Greg worked from 7 PM |until| 4 AM and had my company up and running the next morning ."
ewtb.r.202709.2:24,until,,,EndTime,,EndTime,,,,"All I can say is that Elmira you are the best I ve experienced , never before has the seamstress done a perfect job |until| i met you ."
ewtb.r.211797.6:9,until,,,EndTime,,EndTime,,,,"They said they were "" unable to tell me |until| they ordered my dress "" ."
ewtb.r.249123.4:3,until,,,EndTime,,EndTime,,,,It was n't |until| he gave up and walked out the door that someone asked Can I help you .
ewtb.r.270889.3:7,until,,,EndTime,,EndTime,,,,We have tried many different computer people |until| now - we will stick with Qualitech Computers !!!
ewtb.r.329692.5:2,until,,,EndTime,,EndTime,,,,We waited |until| 2:25 PM and then left .
